PM1, Stopping in stage 1 ~20%
[Main thread Dec 7 17:05] Mersenne number primality test program version 30.7
[Main thread Dec 7 17:05] Optimizing for CPU architecture: AMD Zen, L2 cache size: 12x512 KB, L3 cache size: 4x16 MB
[Main thread Dec 7 17:05] Starting worker.
[Work thread Dec 7 17:05] Worker starting
[Work thread Dec 7 17:05] Setting affinity to run worker on CPU core #2
[Work thread Dec 7 17:06] M2267 stage 1 is 13.68% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 13.86% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.03% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.20% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.38% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.55% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.72% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 14.90% complete. Time: 0.160 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.07% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.24% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.41% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.59% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.76% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 15.93% complete. Time: 0.161 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.11% complete. Time: 0.167 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.28% complete. Time: 0.167 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.45% complete. Time: 0.169 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.63% complete. Time: 0.166 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.80% complete. Time: 0.169 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 16.97% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 17.15% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 17.32% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 17.49% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 17.67% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 17.84% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.01% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.19% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.36% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.53% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.71% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 18.88% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.05% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.23% complete. Time: 0.163 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.40% complete. Time: 0.170 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.57% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.75% complete. Time: 0.172 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 19.92% complete. Time: 0.172 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.09% complete. Time: 0.166 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.27% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.44% complete. Time: 0.164 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.61% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.79% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 20.96% complete. Time: 0.162 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.11% complete. Time: 0.079 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.23% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.35% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.46% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.58% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.70% complete. Time: 0.154 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.82% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 21.94% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.05% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.17% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.29% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.41% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.52% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.64% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.75% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.87% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 22.98% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.09% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.21% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.33% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.45% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.57% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.68% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.80% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 23.91% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.03% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.14% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.26% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.37% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.49% complete. Time: 0.155 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.60% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.72% complete. Time: 0.157 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.83% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 24.94% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.05% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.16% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.29% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.41% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.53% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.65% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.77% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 25.89% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.01% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.12% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.24% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.36% complete. Time: 0.152 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.48% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.60% complete. Time: 0.156 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.72% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.83% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 26.95% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.07% complete. Time: 0.149 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.18% complete. Time: 0.150 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.30% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.42% complete. Time: 0.151 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.54% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.66% complete. Time: 0.155 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.77% complete. Time: 0.178 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 27.89% complete. Time: 0.153 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 28.01% complete. Time: 0.157 sec.
[Work thread Dec 7 17:06] M2267 stage 1 is 28.12% complete. Time: 0.159 sec.
[Main thread Dec 7 17:06] Stopping all worker windows.
[Work thread Dec 7 17:06] Worker stopped.
[Main thread Dec 7 17:06] Execution halted.
[Main thread Dec 7 17:06] Choose Test/Continue to restart.
