50000 6470424 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6500000 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6606829 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6646918 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6650000 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6700000 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6750000 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
50000 6800000 21	214	3283	69076	1847472	6.2e+07	2.5e+09	1.3e+11	5.9e+16	8.4e+21	1.1e+27	Inf	Inf
51000 5000000 20	202	3072	63563	1689994	5.5e+07	2.2e+09	1.1e+11	4e+16	5.7e+21	7.6e+26	Inf	Inf
51000 5100000 20	202	3072	63563	1689994	5.5e+07	2.2e+09	1.1e+11	4e+16	5.7e+21	7.6e+26	Inf	Inf
60000 6000000 17	169	2403	45870	1133307	3.5e+07	1.3e+09	5.1e+10	5.6e+15	8.1e+20	1.1e+26	Inf	Inf
65000 5000000 17	160	2189	40886	976611	2.9e+07	1e+09	3.8e+10	2.4e+15	3.6e+20	4.7e+25	Inf	Inf
65000 6500000 17	160	2189	40886	976611	2.9e+07	1e+09	3.8e+10	2.4e+15	3.6e+20	4.7e+25	Inf	Inf
70000 7100000 17	152	2036	36883	852935	2.5e+07	8.4e+08	3e+10	1.1e+15	1.7e+20	2.2e+25	Inf	Inf
70000 7300000 17	152	2036	36883	852935	2.5e+07	8.4e+08	3e+10	1.1e+15	1.7e+20	2.2e+25	Inf	Inf
