PM1, Stopping in stage 1 ~10%
[Main thread Dec 7 16:44] Mersenne number primality test program version 29.8
[Main thread Dec 7 16:44] Optimizing for CPU architecture: AMD Zen, L2 cache size: 12x512 KB, L3 cache size: 4x16 MB
[Main thread Dec 7 16:44] Starting worker.
[Work thread Dec 7 16:44] Worker starting
[Work thread Dec 7 16:44] Setting affinity to run worker on CPU core #2
[Work thread Dec 7 16:44] P-1 on M2267 with B1=200000000, B2=20000000000
[Work thread Dec 7 16:44] Using FMA3 FFT length 128
[Work thread Dec 7 16:44] M2267 stage 1 is 0.17% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 0.34% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 0.51% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 0.69% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 0.86% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.03% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.21% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.38% complete. Time: 0.153 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.55% complete. Time: 0.153 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.73% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 1.90% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.07% complete. Time: 0.153 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.25% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.42% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.59% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.77% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 2.94% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.11% complete. Time: 0.153 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.29% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.46% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.63% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.80% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 3.98% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 4.15% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 4.32% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 4.50% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 4.67% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 4.84% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.02% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.19% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.36% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.54% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.71% complete. Time: 0.152 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 5.88% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.06% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.23% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.40% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.58% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.75% complete. Time: 0.151 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 6.92% complete. Time: 0.150 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.07% complete. Time: 0.148 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.19% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.30% complete. Time: 0.144 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.42% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.54% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.65% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.77% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 7.88% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.00% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.11% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.23% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.34% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.46% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.58% complete. Time: 0.141 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.70% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.82% complete. Time: 0.142 sec.
[Work thread Dec 7 16:44] M2267 stage 1 is 8.94% complete. Time: 0.142 sec.
